year_month,year,month,n_tenders,n_lots,total_value,n_lots_one_bid,total_value_one_bid,share_one_bid_num,share_one_bid_value,avg_bids,median_bids,avg_lot_value,median_lot_value,zero_lots_month,outlier_total_value,outlier_share_value
2013-02,2013,2,101,253,7683133.78,58,819647.55,0.22924901185770752,0.10668141066782258,4.019762845849803,3.0,30368.117707509882,5764.0,0,0,0
2013-03,2013,3,115,267,17995832.39,43,1585125.01,0.16104868913857678,0.08808289473071715,4.382022471910112,3.0,67400.12131086143,5361.0,0,0,0
2013-04,2013,4,83,159,9039836.98,37,2580076.71,0.23270440251572327,0.28541186259312384,4.119496855345912,3.0,56854.32062893082,10226.1,0,0,0
2013-05,2013,5,107,177,10881181.18,29,1418108.58,0.1638418079096045,0.13032671329896928,6.135593220338983,4.0,61475.59988700565,10597.0,0,0,0
2013-06,2013,6,124,246,14175353.49,33,3755266.63,0.13414634146341464,0.2649152017725097,5.276422764227642,3.0,57623.388170731705,11120.5,0,0,0
2013-07,2013,7,153,242,13491467.56,55,1668223.49,0.22727272727272727,0.12365026136563603,3.8925619834710745,3.0,55749.86595041322,10583.0,0,0,0
2013-08,2013,8,127,248,10342886.87,54,1793709.57,0.21774193548387097,0.1734244599738139,3.6330645161290325,3.0,41705.18899193548,6727.5,0,0,0
2013-09,2013,9,173,313,19054438.49,73,3392377.45,0.23322683706070288,0.17803607552016615,3.373801916932907,3.0,60876.80028753993,7789.0,0,0,0
2013-10,2013,10,166,271,11625498.93,65,1459569.05,0.23985239852398524,0.12554893848327936,3.8450184501845017,3.0,42898.520036900365,8950.0,0,0,0
2013-11,2013,11,181,269,12677407.32,60,2025621.79,0.22304832713754646,0.15978202315897505,3.553903345724907,3.0,47127.908252788104,9842.0,0,0,0
2013-12,2013,12,200,380,13627277.99,106,3477601.76,0.2789473684210526,0.25519416001874634,3.5026315789473683,3.0,35861.25786842105,5832.0,0,0,0
2014-01,2014,1,102,192,10551990.64,51,5430708.09,0.265625,0.5146619510269012,2.921875,2.0,54958.284583333334,8909.0,0,0,0
2014-02,2014,2,91,203,9010452.2,35,1182027.98,0.1724137931034483,0.13118409084951366,4.29064039408867,3.0,44386.464039408864,8243.0,0,0,0
2014-03,2014,3,110,222,27799387.7,36,4020687.86,0.16216216216216217,0.14463224526344515,4.527027027027027,3.0,125222.4671171171,12733.5,0,0,0
2014-04,2014,4,100,199,13125559.379999999,46,1790611.9100000001,0.23115577889447236,0.13642175987778743,3.7386934673366836,3.0,65957.5848241206,11224.0,0,0,0
2014-05,2014,5,105,219,14757898.71,55,1968535.3,0.2511415525114155,0.13338858998036854,3.6027397260273974,3.0,67387.66534246576,9468.0,0,0,0
