date,currency,rate_units_per_usd
2024-10-01,RWF,1337.4927447775135
2024-11-01,RWF,1355.0447998046875
2024-12-01,RWF,1369.5111472389915
2025-01-01,RWF,1375.5011097301137
2025-02-01,RWF,1389.0648376464844
2025-03-01,RWF,1401.723179408482
2025-04-01,RWF,1406.7898010253907
2025-05-01,RWF,1412.8290183327415
2025-06-01,RWF,1414.1937779017858
2025-07-01,RWF,1429.9726774796195
2025-08-01,RWF,1435.2111990792412
2025-09-01,RWF,1438.1561445756392
2025-10-01,RWF,1441.9051619819973
2025-11-01,RWF,1440.9032440185547
2014-01-01,UGX,2468.3043584408965
2014-02-01,UGX,2438.0300170898436
2014-03-01,UGX,2501.709519159226
2014-04-01,UGX,2495.722745028409
2014-05-01,UGX,2498.404529918324
2014-06-01,UGX,2544.9857003348216
2014-07-01,UGX,2599.6217412533965
2014-08-01,UGX,2578.4761555989585
2014-09-01,UGX,2587.0727206143465
2014-10-01,UGX,2642.9521696671195
2014-11-01,UGX,2699.4849853515625
2014-12-01,UGX,2732.90869140625
2015-01-01,UGX,2820.149991122159
2015-02-01,UGX,2829.585009765625
2015-03-01,UGX,2914.9408957741475
2015-04-01,UGX,2951.4909113103695
2015-05-01,UGX,2966.5619303385415
2015-06-01,UGX,3150.999988902699
2015-07-01,UGX,3313.0913404381795
2015-08-01,UGX,3507.2476399739585
2015-09-01,UGX,3630.440906871449
2015-10-01,UGX,3598.904552112926
2015-11-01,UGX,3379.1857328869046
2015-12-01,UGX,3313.5608547044835
2016-01-01,UGX,3406.304734002976
2016-02-01,UGX,3388.5333426339284
2016-03-01,UGX,3321.9608738111415
2016-04-01,UGX,3302.238083612351
2016-05-01,UGX,3309.1681685014205
2016-06-01,UGX,3328.245427911932
2016-07-01,UGX,3340.066650390625
2016-08-01,UGX,3335.1782545006795
2016-09-01,UGX,3342.254560990767
2016-10-01,UGX,3397.2523600260415
2016-11-01,UGX,3528.30908203125
2016-12-01,UGX,3555.0227383700285
2017-01-01,UGX,3562.409102006392
2017-02-01,UGX,3541.594970703125
2017-03-01,UGX,3557.7521654211955
2017-04-01,UGX,3578.144970703125
2017-05-01,UGX,3581.7478239639945
2017-06-01,UGX,3546.622713955966
2017-07-01,UGX,3555.623849051339
2017-08-01,UGX,3564.265232252038
2017-09-01,UGX,3567.0142647879466
2017-10-01,UGX,3602.2908824573865
2017-11-01,UGX,3598.436345880682
2017-12-01,UGX,3584.338088262649
2018-01-01,UGX,3602.430462381114
2018-02-01,UGX,3602.7300048828124
2018-03-01,UGX,3626.5181773792615
2018-04-01,UGX,3658.161911737351
2018-05-01,UGX,3686.22606360394
2018-06-01,UGX,3799.9761904761904
2018-07-01,UGX,3724.7727272727275
2018-08-01,UGX,3690.2565174932065
2018-09-01,UGX,3762.3049926757812
2018-10-01,UGX,3740.6434697690215
2018-11-01,UGX,3699.377286044034
2018-12-01,UGX,3675.0809500558034
2019-01-01,UGX,3664.4043605638585
2019-02-01,UGX,3633.2800048828126
2019-03-01,UGX,3665.9571242559523
2019-04-01,UGX,3696.881824840199
2019-05-01,UGX,3725.0045276988635
2019-06-01,UGX,3694.525
2019-07-01,UGX,3657.04784094769
2019-08-01,UGX,3649.7227006392045
2019-09-01,UGX,3632.814278738839
2019-10-01,UGX,3654.7407863451085
2019-11-01,UGX,3656.339064825149
2019-12-01,UGX,3635.2820157137785
2020-01-01,UGX,3640.597401494565
2020-02-01,UGX,3633.8234130859373
2020-03-01,UGX,3725.326182972301
